Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Matt Vierling,DET,OF,27,57,192,26,53,8,4,7,28,0,0,10,45,0,2,1,.276,.312,.469,.781
Ronald Acuna,ATL,OF,26,49,192,38,48,8,1,4,15,16,3,27,53,0,0,3,.250,.351,.365,.716
Brent Rooker,OAK,OF,29,53,191,25,52,12,1,12,39,2,1,24,73,0,0,2,.272,.359,.534,.893
Gavin Sheets,CWS,OF,28,59,191,20,47,14,1,7,27,1,0,28,38,0,2,3,.246,.348,.440,.788
Dansby Swanson,CHC,SS,30,54,191,28,42,8,1,6,18,4,2,18,59,0,1,2,.220,.292,.366,.658
Isiah Kiner-Falefa,TOR,OF,29,63,190,18,51,6,2,4,21,3,0,12,28,1,1,1,.268,.314,.384,.698
Andrew Benintendi,CWS,OF,29,51,190,13,37,5,0,4,18,2,1,9,35,0,1,0,.195,.230,.284,.514
Elehuris Montero,COL,3B,25,55,190,18,39,8,0,3,23,0,0,17,46,0,2,0,.205,.268,.295,.563
Alec Burleson,STL,OF,25,56,190,19,52,7,0,8,23,2,0,9,28,0,0,0,.274,.307,.437,.744
Ryan Jeffers,MIN,C,27,57,189,25,44,14,0,12,36,2,0,16,53,1,3,10,.233,.321,.497,.818
Shea Langeliers,OAK,C,26,56,189,22,38,8,2,12,30,2,1,14,56,0,3,3,.201,.263,.455,.718
Jose Caballero,TB,2B,27,55,188,27,49,10,1,3,18,21,8,11,61,2,1,6,.261,.320,.372,.692
Will Benson,CIN,OF,25,61,188,21,40,12,2,8,22,9,6,26,84,1,1,1,.213,.310,.426,.736
Logan O'Hoppe,LAA,C,24,54,188,24,48,7,1,7,26,0,0,13,51,1,0,2,.255,.310,.415,.725
Masyn Winn,STL,SS,22,57,188,22,57,12,2,3,21,8,3,17,37,2,4,0,.303,.354,.436,.790
Paul DeJong,CWS,SS,30,59,188,25,44,10,0,11,24,2,0,7,66,0,2,7,.234,.284,.463,.747
Xander Bogaerts,SD,SS,31,47,187,23,41,6,0,4,14,4,0,12,40,0,1,0,.219,.265,.316,.581
Javier Baez,DET,SS,31,53,186,15,34,9,0,1,25,6,1,6,42,0,3,1,.183,.209,.247,.456
Justin Turner,TOR,1B,39,56,186,20,43,11,0,4,21,0,2,22,35,0,2,2,.231,.316,.355,.671
